Imputation,Mechanism,Model,Metric,Fold,Value,SE,CI_Lower,CI_Upper
MICE (pooled),mnar,RSF,C-index (CV),1,0.6173333333333334,0.12166621004480523,0.37886756164551516,0.8557991050211516
MICE (pooled),mnar,RSF,C-index (CV),2,0.525984251968504,0.17142584044897533,0.18998960468851234,0.8619788992484956
MICE (pooled),mnar,RSF,C-index (CV),3,0.437962962962963,0.1355240552349475,0.1723358147024659,0.7035901112234602
MICE (pooled),mnar,RSF,C-index (CV),4,0.5344827586206897,0.23541902329239012,0.07306147296760512,0.9959040442737743
MICE (pooled),mnar,RSF,C-index (CV),5,0.49534050179211475,0.12935294677093473,0.24180872612108267,0.7488722774631469
MICE (pooled),mnar,RSF,C-index (CV),6,0.6330097087378641,0.16569832117812175,0.3082409992287455,0.9577784182469827
MICE (pooled),mnar,RSF,C-index (CV),7,0.4741935483870968,0.10608747593108095,0.26626209556217817,0.6821250012120155
MICE (pooled),mnar,RSF,C-index (CV),8,0.5835164835164834,0.12426331644937771,0.3399603832757031,0.8270725837572638
MICE (pooled),mnar,RSF,C-index (CV),9,0.5093333333333333,0.11553931509807963,0.2828762757410972,0.7357903909255694
MICE (pooled),mnar,RSF,C-index (CV),10,0.5804878048780487,0.12181944099625516,0.34172170052538864,0.8192539092307088
MICE (pooled),mnar,RSF,C-index (Test),Test,0.7823529411764706,0.11702449655981782,0.5529849279192276,1.0117209544337136
MICE (pooled),mnar,RSF,IBS (Test),Test,0.07287747977979578,0.03168009515498823,0.010784493276018853,0.1349704662835727
MICE (pooled),mnar,XGBoost,C-index (CV),1,0.6273333333333333,0.1393652276095679,0.3541774872185802,0.9004891794480864
MICE (pooled),mnar,XGBoost,C-index (CV),2,0.5448818897637795,0.1461855079698582,0.2583582941428574,0.8314054853847016
MICE (pooled),mnar,XGBoost,C-index (CV),3,0.5203703703703704,0.18279241188742326,0.1620972430710208,0.8786434976697199
MICE (pooled),mnar,XGBoost,C-index (CV),4,0.5195402298850575,0.25755335308801686,0.014735657832544491,1.0243448019375707
MICE (pooled),mnar,XGBoost,C-index (CV),5,0.3555555555555555,0.13853174105790123,0.08403334308206911,0.6270777680290419
MICE (pooled),mnar,XGBoost,C-index (CV),6,0.6601941747572815,0.13631704131422026,0.39301277378140975,0.9273755757331532
MICE (pooled),mnar,XGBoost,C-index (CV),7,0.5669354838709678,0.14209347877984613,0.2884322654624694,0.8454387022794663
MICE (pooled),mnar,XGBoost,C-index (CV),8,0.7153846153846154,0.12650256203215962,0.4674395938015825,0.9633296369676483
MICE (pooled),mnar,XGBoost,C-index (CV),9,0.4413333333333333,0.22653329409456205,-0.0026719230920083104,0.885338589758675
MICE (pooled),mnar,XGBoost,C-index (CV),10,0.6058536585365853,0.19545642065070962,0.2227590740611945,0.9889482430119763
MICE (pooled),mnar,XGBoost,C-index (Test),Test,0.6098039215686274,0.14169295502070328,0.33208572972804895,0.8875221134092058
MICE (pooled),mnar,GradientBoosting,C-index (CV),1,0.5493333333333332,0.16724532878379594,0.2215324889170932,0.8771341777495733
MICE (pooled),mnar,GradientBoosting,C-index (CV),2,0.4921259842519685,0.16244678444929453,0.17373028673135127,0.8105216817725858
MICE (pooled),mnar,GradientBoosting,C-index (CV),3,0.5694444444444444,0.21700620356761988,0.14411228545190946,0.9947766034369794
MICE (pooled),mnar,GradientBoosting,C-index (CV),4,0.5637931034482759,0.20115106731677898,0.16953701150738915,0.9580491953891628
MICE (pooled),mnar,GradientBoosting,C-index (CV),5,0.5150537634408602,0.21233042674244904,0.09888612702566008,0.9312213998560603
MICE (pooled),mnar,GradientBoosting,C-index (CV),6,0.6004854368932039,0.16631793408534282,0.27450228608593197,0.9264685877004758
MICE (pooled),mnar,GradientBoosting,C-index (CV),7,0.6451612903225807,0.15996634011185765,0.3316272637033398,0.9586953169418218
MICE (pooled),mnar,GradientBoosting,C-index (CV),8,0.6296703296703298,0.2118486380161458,0.21444699915868398,1.0448936601819756
MICE (pooled),mnar,GradientBoosting,C-index (CV),9,0.5113333333333333,0.1399666626974676,0.2369986744462968,0.7856679922203698
MICE (pooled),mnar,GradientBoosting,C-index (CV),10,0.5658536585365853,0.15782579874141003,0.2565150930034217,0.875192224069749
MICE (pooled),mnar,GradientBoosting,C-index (Test),Test,0.5901960784313726,0.13928126044707614,0.3172048079551033,0.8631873489076418
MICE (pooled),mnar,GradientBoosting,IBS (Test),Test,0.0733567391411151,0.03178456685642556,0.011058988102520997,0.1356544901797092
MICE (pooled),mnar,DeepSurv,C-index (CV),1,0.6386666666666667,0.19243353831041685,0.2614969315782497,1.0158364017550836
MICE (pooled),mnar,DeepSurv,C-index (CV),2,0.4881889763779528,0.13995827655640217,0.21387075432740454,0.762507198428501
MICE (pooled),mnar,DeepSurv,C-index (CV),3,0.49074074074074064,0.2435009147277501,0.013478947874350444,0.9680025336071308
MICE (pooled),mnar,DeepSurv,C-index (CV),4,0.6160919540229884,0.1396445291814937,0.3423886768272608,0.8897952312187161
MICE (pooled),mnar,DeepSurv,C-index (CV),5,0.4207885304659499,0.14857787331062194,0.12957589877713088,0.7120011621547688
MICE (pooled),mnar,DeepSurv,C-index (CV),6,0.5456310679611651,0.14969412997120743,0.25223057321759856,0.8390315627047317
MICE (pooled),mnar,DeepSurv,C-index (CV),7,0.6419354838709678,0.1395580768562567,0.36840165323270463,0.915469314509231
MICE (pooled),mnar,DeepSurv,C-index (CV),8,0.5692307692307692,0.20704883166392057,0.1634150591694849,0.9750464792920535
MICE (pooled),mnar,DeepSurv,C-index (CV),9,0.492,0.21418994685403264,0.07218770416609605,0.9118122958339039
MICE (pooled),mnar,DeepSurv,C-index (CV),10,0.6409756097560975,0.21361231262986485,0.22229547700156238,1.0596557425106325
MICE (pooled),mnar,DeepSurv,C-index (Test),Test,0.5732026143790849,0.20143341259673828,0.1783931256894779,0.9680121030686919
MICE (pooled),mcar,RSF,C-index (CV),1,0.6293333333333333,0.11022401432234871,0.4132942652615298,0.8453724014051368
MICE (pooled),mcar,RSF,C-index (CV),2,0.6606299212598425,0.11864707393887262,0.42808165633965223,0.8931781861800329
MICE (pooled),mcar,RSF,C-index (CV),3,0.5185185185185186,0.1440968038815882,0.23608878291060575,0.8009482541264314
MICE (pooled),mcar,RSF,C-index (CV),4,0.6459770114942529,0.1576557355607846,0.33697176979511506,0.9549822531933907
MICE (pooled),mcar,RSF,C-index (CV),5,0.5727598566308243,0.11286908512656416,0.35153644978275855,0.79398326347889
MICE (pooled),mcar,RSF,C-index (CV),6,0.6165048543689321,0.1269173805717197,0.3677467884483615,0.8652629202895027
MICE (pooled),mcar,RSF,C-index (CV),7,0.5798387096774194,0.1065828858235142,0.3709362534633315,0.7887411658915072
MICE (pooled),mcar,RSF,C-index (CV),8,0.7230769230769231,0.14016913205642503,0.44834542424633,0.9978084219075161
MICE (pooled),mcar,RSF,C-index (CV),9,0.6906666666666667,0.10114016676540202,0.4924319398064787,0.8889013935268546
MICE (pooled),mcar,RSF,C-index (CV),10,0.48,0.1260586343652702,0.2329250766440704,0.7270749233559296
MICE (pooled),mcar,RSF,C-index (Test),Test,0.7516339869281046,0.12721446128211095,0.5022936428151671,1.000974331041042
MICE (pooled),mcar,RSF,IBS (Test),Test,0.07386087137511987,0.03164417703705196,0.01183828438249803,0.1358834583677417
MICE (pooled),mcar,XGBoost,C-index (CV),1,0.6166666666666666,0.173877351409933,0.27586705790319793,0.9574662754301353
MICE (pooled),mcar,XGBoost,C-index (CV),2,0.6228346456692913,0.17236722258282994,0.28499488940694456,0.960674401931638
MICE (pooled),mcar,XGBoost,C-index (CV),3,0.4305555555555555,0.11258284558200492,0.2098931782148259,0.6512179328962852
MICE (pooled),mcar,XGBoost,C-index (CV),4,0.5172413793103449,0.16849571091781876,0.18698978591142013,0.8474929727092696
MICE (pooled),mcar,XGBoost,C-index (CV),5,0.5075268817204301,0.13654785040683168,0.23989309492304006,0.7751606685178203
MICE (pooled),mcar,XGBoost,C-index (CV),6,0.6660194174757282,0.11924369706312651,0.4323017712320003,0.8997370637194562
MICE (pooled),mcar,XGBoost,C-index (CV),7,0.635483870967742,0.12167802226785943,0.3969949473227375,0.8739727946127465
MICE (pooled),mcar,XGBoost,C-index (CV),8,0.6835164835164834,0.16120545776608572,0.36755378629495544,0.9994791807380115
MICE (pooled),mcar,XGBoost,C-index (CV),9,0.7,0.1623165631310208,0.3818595362631992,1.0181404637368008
MICE (pooled),mcar,XGBoost,C-index (CV),10,0.5804878048780487,0.15649720183452004,0.27375328928238946,0.887222320473708
MICE (pooled),mcar,XGBoost,C-index (Test),Test,0.6516339869281045,0.17714468202533695,0.3044304101584441,0.9988375636977649
MICE (pooled),mcar,GradientBoosting,C-index (CV),1,0.578,0.15204933409916666,0.2799833051656333,0.8760166948343666
MICE (pooled),mcar,GradientBoosting,C-index (CV),2,0.65,0.13626654812221625,0.38291756568045615,0.9170824343195438
MICE (pooled),mcar,GradientBoosting,C-index (CV),3,0.5606481481481482,0.1653672338054335,0.2365283698894986,0.8847679264067978
