Imputation,Mechanism,Model,Metric,Mean,95% CI Lower,95% CI Upper,Formatted
GAIN,full,DeepSurv,C-index (CV),0.7545628911251272,0.6756245749297239,0.8335012073205305,0.755 (0.676-0.834)
GAIN,full,DeepSurv,C-index (Test),0.7540983606557377,,,0.754
GAIN,full,GradientBoosting,C-index (CV),0.7964584625503468,0.7298216552508459,0.8630952698498477,0.796 (0.730-0.863)
GAIN,full,GradientBoosting,C-index (Test),0.7704918032786885,,,0.770
GAIN,full,GradientBoosting,IBS (Test),0.12370164940180811,,,0.124
GAIN,full,RSF,C-index (CV),0.8186274245802483,0.7452651877284642,0.8919896614320324,0.819 (0.745-0.892)
GAIN,full,RSF,C-index (Test),0.7540983606557377,,,0.754
GAIN,full,RSF,IBS (Test),0.10449330771352336,,,0.104
GAIN,full,XGBoost,C-index (CV),0.7359954814855318,0.656561516275645,0.8154294466954187,0.736 (0.657-0.815)
GAIN,full,XGBoost,C-index (Test),0.4262295081967213,,,0.426
GAIN,mar,DeepSurv,C-index (CV),0.6991427082054724,0.596202760304365,0.8020826561065798,0.699 (0.596-0.802)
GAIN,mar,DeepSurv,C-index (Test),0.8366013071895425,,,0.837
GAIN,mar,GradientBoosting,C-index (CV),0.8663244951952465,0.8110197426171831,0.9216292477733098,0.866 (0.811-0.922)
GAIN,mar,GradientBoosting,C-index (Test),0.8398692810457516,,,0.840
GAIN,mar,GradientBoosting,IBS (Test),0.05226745834185798,,,0.052
GAIN,mar,RSF,C-index (CV),0.8503750442423469,0.7685172117356335,0.9322328767490603,0.850 (0.769-0.932)
GAIN,mar,RSF,C-index (Test),0.8856209150326797,,,0.886
GAIN,mar,RSF,IBS (Test),0.058319977273879386,,,0.058
GAIN,mar,XGBoost,C-index (CV),0.8250527335936081,0.7388699729763989,0.9112354942108173,0.825 (0.739-0.911)
GAIN,mar,XGBoost,C-index (Test),0.7450980392156863,,,0.745
GAIN,mcar,DeepSurv,C-index (CV),0.7528928731289949,0.6770105433300924,0.8287752029278974,0.753 (0.677-0.829)
GAIN,mcar,DeepSurv,C-index (Test),0.803921568627451,,,0.804
GAIN,mcar,GradientBoosting,C-index (CV),0.8503535726916447,0.7655698643858472,0.9351372809974422,0.850 (0.766-0.935)
GAIN,mcar,GradientBoosting,C-index (Test),0.815359477124183,,,0.815
GAIN,mcar,GradientBoosting,IBS (Test),0.12147546792676678,,,0.121
GAIN,mcar,RSF,C-index (CV),0.8403302101958701,0.7783421207568593,0.9023182996348809,0.840 (0.778-0.902)
GAIN,mcar,RSF,C-index (Test),0.7647058823529411,,,0.765
GAIN,mcar,RSF,IBS (Test),0.0643835857516381,,,0.064
GAIN,mcar,XGBoost,C-index (CV),0.8726304459638257,0.801585285927784,0.9436756059998673,0.873 (0.802-0.944)
GAIN,mcar,XGBoost,C-index (Test),0.8333333333333334,,,0.833
GAIN,mnar,DeepSurv,C-index (CV),0.6983301281635581,0.640876747913557,0.7557835084135592,0.698 (0.641-0.756)
GAIN,mnar,DeepSurv,C-index (Test),0.6274509803921569,,,0.627
GAIN,mnar,GradientBoosting,C-index (CV),0.876459194205656,0.8094341427910605,0.9434842456202515,0.876 (0.809-0.943)
GAIN,mnar,GradientBoosting,C-index (Test),0.9215686274509803,,,0.922
GAIN,mnar,GradientBoosting,IBS (Test),0.045927291480236825,,,0.046
GAIN,mnar,RSF,C-index (CV),0.8384587291926471,0.7688399548162586,0.9080775035690356,0.838 (0.769-0.908)
GAIN,mnar,RSF,C-index (Test),0.9215686274509803,,,0.922
GAIN,mnar,RSF,IBS (Test),0.05621354082927205,,,0.056
GAIN,mnar,XGBoost,C-index (CV),0.8353996812282312,0.7777835372885313,0.893015825167931,0.835 (0.778-0.893)
GAIN,mnar,XGBoost,C-index (Test),0.8790849673202614,,,0.879
MICE (pooled),full,DeepSurv,C-index (CV),0.7325347055697324,0.641135100172367,0.8239343109670979,0.733 (0.641-0.824)
MICE (pooled),full,DeepSurv,C-index (Test),0.5693989071038251,0.11860375466580891,1.0201940595418413,0.569 (0.119-1.020)
MICE (pooled),full,GradientBoosting,C-index (CV),0.7457382918927101,0.6555200621564137,0.8359565216290066,0.746 (0.656-0.836)
MICE (pooled),full,GradientBoosting,C-index (Test),0.7065573770491803,0.48779797807525316,0.9253167760231075,0.707 (0.488-0.925)
MICE (pooled),full,GradientBoosting,IBS (Test),0.10528855323156731,0.04112258006152371,0.1694545264016109,0.105 (0.041-0.169)
MICE (pooled),full,RSF,C-index (CV),0.7909016226864412,0.7130967790774956,0.8687064662953867,0.791 (0.713-0.869)
MICE (pooled),full,RSF,C-index (Test),0.6710382513661202,0.46287899825122697,0.8791975044810134,0.671 (0.463-0.879)
MICE (pooled),full,RSF,IBS (Test),0.10650775803181542,0.0444779389510125,0.16853757711261835,0.107 (0.044-0.169)
MICE (pooled),full,XGBoost,C-index (CV),0.7449271857653305,0.6602604854570792,0.8295938860735818,0.745 (0.660-0.830)
MICE (pooled),full,XGBoost,C-index (Test),0.5617486338797815,0.33982651013692555,0.7836707576226374,0.562 (0.340-0.784)
MICE (pooled),mar,DeepSurv,C-index (CV),0.5342646249609684,0.4822977763792316,0.5862314735427051,0.534 (0.482-0.586)
MICE (pooled),mar,DeepSurv,C-index (Test),0.5418300653594772,0.19887806307890188,0.8847820676400525,0.542 (0.199-0.885)
MICE (pooled),mar,GradientBoosting,C-index (CV),0.5409388501549193,0.49316114734872496,0.5887165529611136,0.541 (0.493-0.589)
MICE (pooled),mar,GradientBoosting,C-index (Test),0.6003267973856209,0.04213949989503751,1.1585140948762043,0.600 (0.042-1.159)
MICE (pooled),mar,GradientBoosting,IBS (Test),0.07853531577029806,0.015126937785119879,0.14194369375547622,0.079 (0.015-0.142)
MICE (pooled),mar,RSF,C-index (CV),0.565468184110067,0.4992447043598955,0.6316916638602387,0.565 (0.499-0.632)
MICE (pooled),mar,RSF,C-index (Test),0.7836601307189541,0.4724292810198374,1.0948909804180709,0.784 (0.472-1.095)
MICE (pooled),mar,RSF,IBS (Test),0.07403229875376535,0.011625926845362344,0.13643867066216836,0.074 (0.012-0.136)
MICE (pooled),mar,XGBoost,C-index (CV),0.5676099514674642,0.4865094409045395,0.6487104620303888,0.568 (0.487-0.649)
MICE (pooled),mar,XGBoost,C-index (Test),0.6516339869281046,0.2205511466005018,1.0827168272557075,0.652 (0.221-1.083)
MICE (pooled),mcar,DeepSurv,C-index (CV),0.5935888114677831,0.5435183073280443,0.6436593156075219,0.594 (0.544-0.644)
MICE (pooled),mcar,DeepSurv,C-index (Test),0.5431372549019609,0.16901486691320067,0.917259642890721,0.543 (0.169-0.917)
MICE (pooled),mcar,GradientBoosting,C-index (CV),0.5587765645479745,0.5107633100463524,0.6067898190495966,0.559 (0.511-0.607)
MICE (pooled),mcar,GradientBoosting,C-index (Test),0.6767973856209151,0.4245443834866763,0.9290503877551539,0.677 (0.425-0.929)
MICE (pooled),mcar,GradientBoosting,IBS (Test),0.08436827739127961,0.00582286130318363,0.1629136934793756,0.084 (0.006-0.163)
MICE (pooled),mcar,RSF,C-index (CV),0.6117305795026713,0.5578299830982897,0.6656311759070529,0.612 (0.558-0.666)
MICE (pooled),mcar,RSF,C-index (Test),0.7516339869281046,0.5022936428151671,1.000974331041042,0.752 (0.502-1.001)
MICE (pooled),mcar,RSF,IBS (Test),0.07386087137511987,0.01183828438249803,0.1358834583677417,0.074 (0.012-0.136)
MICE (pooled),mcar,XGBoost,C-index (CV),0.5960332705760292,0.5339818038113711,0.6580847373406873,0.596 (0.534-0.658)
MICE (pooled),mcar,XGBoost,C-index (Test),0.6516339869281045,0.3044304101584441,0.9988375636977649,0.652 (0.304-0.999)
MICE (pooled),mnar,DeepSurv,C-index (CV),0.5544249799093298,0.4977275936577902,0.6111223661608695,0.554 (0.498-0.611)
